하루가 또 가네요.	하루가 또 갔습니다.
맛있는 식사시간 되시길 바랄게요.	맛있는 식사시간 되시길 바라겠습니다.
맛있죠!	맛있습니다!
기다렸나봐요.	기다렸나 봅니다.
조금만 기다리면 다시 전기가 들어올거예요.	조금만 기다리면 다시 전기가 들어올겁니다.
적당해요.	적당합니다.
스스로 단단해지세요.	스스로 단단해지십시오.
제가 드리고 싶네요.	제가 드리고 싶습니다.
집안 분위기가 바뀔 거예요.	집안 분위기가 바뀔 겁니다.
집안 분위기가 바뀔 거예요.	집안 분위기가 바뀔 겁니다.
꽃 선물은 언제나 좋죠.	꽃 선물은 언제나 좋습니다.
꽃 선물은 언제나 좋죠.	꽃 선물은 언제나 좋습니다.
솜씨가 좋으시네요.	솜씨가 좋으십니다.
기분 좋아 보이세요.	기분 좋아 보이십시오.
기분 좋아 보이세요.	기분 좋아 보이십시오.
마음의 안정을 취하기 좋은 취미네요.	마음의 안정을 취하기 좋은 취미인 것 같습니다.
마음의 안정을 취하기 좋은 취미네요.	마음의 안정을 취하기 좋은 취미인 것 같습니다.
벚꽃 계절이 다가왔네요.	벚꽃 계절이 다가왔나 봅니다.
거꾸로 해서 드라이플라워 만들어보세요.	거꾸로 해서 드라이플라워 만들어보십시오.
거꾸로 해서 드라이플라워 만들어보세요.	거꾸로 해서 드라이플라워 만들어보십시오.
부러워요!	부럽습니다!
멋진 선물이네요.	멋진 선물입니다.
센스있는 선물이에요.	센스있는 선물입니다.
부러워요!	부럽습니다!
센스있는 선물이에요.	센스있는 선물입니다.
멋진 선물이네요.	멋진 선물입니다.
받는 사람이 부럽네요.	받는 사람이 부럽습니다.
받는 사람이 부럽네요.	받는 사람이 부럽습니다.
제가 드리고 싶네요.	제가 드리고 싶습니다.
저도 즐거워요	저도 즐겁습니다.
차근차근 이뤄보아요.	차근차근 이뤄보십시오.
차근차근 이뤄보아요.	차근차근 이뤄보십시오.
요즘 예민한가봐요.	요즘 예민한가 봅니다.
많으면 많을 수록 좋죠.	많으면 많을 수록 좋습니다.
더 많아도 괜찮아요.	더 많아도 괜찮습니다.
거창하지 않아도 돼요.	거창하지 않아도 됩니다.
현실을 꿈처럼 만들어봐요.	현실을 꿈처럼 만들어 봅니다.
많으면 많을 수록 좋죠.	많으면 많을 수록 좋습니다.
현실을 꿈처럼 만들어봐요.	현실을 꿈처럼 만들어 봅니다.
뜻대로 되는게 많지 않죠.	뜻대로 되는게 많지 않습니다.
마음이 허전하신가봐요.	마음이 허전하신가 봅니다.
잘 해결되길 바라요.	잘 해결되길 바랍니다.
잘 해결되길 바라요.	잘 해결되길 바랍니다.
자신을 더 사랑해주세요.	자신을 더 사랑해주십시오.
아니길 바라요.	아니길 바랍니다.
잘 아시네요.	잘 아십니다.
애정표현일 지도 몰라요.	애정표현일 지도 모릅니다.
얼굴에 다 티가 나네요.	얼굴에 다 티가 납니다.
네, 이제 잘 해낼 차례예요.	네, 이제 잘 해낼 차례입니다.
좋은 결과 있을 거예요.	좋은 결과 있을 겁니다.
괜찮은 사람이에요.	괜찮은 사람입니다.
학점 관리하세요.	학점 관리하십시오.
바람 좀 쐬고 오시면 좋은텐데.	바람 좀 쐬고 오시면 좋을 것 같습니다.
밥 사줄 친구를 찾아 보세요~	밥 사줄 친구를 찾아 보십시오~
짐 빼놓지 말고 싸세요.	짐 빼놓지 말고 싸십시오.
식단조절도 하고 꾸준히 운동하세요.	식단조절도 하고 꾸준히 운동하십시오.
충분히 아름다워요.	충분히 아름답습니다.
꼼꼼한 거예요.	꼼꼼한 겁니다.
노트북은 비싸요.	노트북은 비쌉니다.
절대 그렇지 않아요.	절대 그렇지 않습니다.
저도 궁금하네요.	저도 궁금합니다.
확인해달라고 해보세요.	확인해달라고 해보십시오.
시도해봐도 좋겠죠.	시도해봐도 좋을 것 같습니다.
사람들이 몰라줘도 알아주는 사람이 있을 거예요.	사람들이 몰라줘도 알아주는 사람이 있을 겁니다.
너무 신경쓰지 말고 그러든지 하고 아무렇지도 않게 넘겨보세요.	너무 신경쓰지 말고 그러든지 하고 아무렇지도 않게 넘겨보십시오.
너무 신경쓰지 말고 그러든지 하고 아무렇지도 않게 넘겨보세요.	너무 신경쓰지 말고 그러든지 하고 아무렇지도 않게 넘겨보십시오.
상대에게 바라는 기대는 자신을 슬프게 해요.	상대에게 바라는 기대는 자신을 슬프게 합니다.
곰곰히 되짚어보세요.	곰곰히 되짚어보십시오.
즐겁게 속아주세요.	즐겁게 속아주십시오.
자책하지 마세요.	자책하지 마십시오.
자책하지 마세요.	자책하지 마십시오.
안녕히 주무세요.	안녕히 주무십시오.
당연한 거예요.	당연한 겁니다.
눈치가 빠르시군요.	눈치가 빠르신 것 같습니다.
그런 생각을 들게 하는 사람 상종하지 마세요.	그런 생각을 들게 하는 사람 상종하지 마십시오.
그런 생각을 들게 하는 사람 상종하지 마세요.	그런 생각을 들게 하는 사람 상종하지 마십시오.
무시하세요.	무시하십시오.
무시하세요.	무시하십시오.
문제는 해결하라고 있는 거죠.	문제는 해결하라고 있는 겁니다.
멍 때리고 있죠.	멍 때리고 있습니다.
성공을 기원합니다.	성공을 기원합니다.
긍정적으로 바뀔 수 있어요	긍정적으로 바뀔 수 있습니다.
바보는 자기한테 바보라고 하지 않아요.	바보는 자기한테 바보라고 하지 않습니다.
저랑 놀아요.	저랑 노는 건 어떻습니까.
아닐거예요.	아닐겁니다.
경찰에 신고하고 취할 수 있는 조취를 취해보세요.	경찰에 신고하고 취할 수 있는 조취를 취해보십시오.
건강하게 운동해보세요.	건강하게 운동해보십시오.
많이 사랑해요!	많이 사랑합니다!
축하합니다!	축하합니다!
꼬까옷 개시해보세요.	꼬까옷 개시해보십시오.
자책하지 마세요.	자책하지 마십시오.
성공을 기원합니다.	성공을 기원합니다.
다음부터 속지 마세요.	다음부터 속지 마십시오.
기분나쁘겠어요.	기분나쁘겠습니다.
친구들과 좋은 추억 만들고 오세요.	친구들과 좋은 추억 만들고 오십시오.
가끔 핸드폰없이 살아보세요.	가끔 핸드폰없이 살아보십시오.
하늘만큼 땅만큼 축하해요	하늘만큼 땅만큼 축하합니다.
잘 생각해보세요.	잘 생각해보십시오.
곰곰히 되짚어보세요.	곰곰히 되짚어보십시오.
고민하고 있으면 그럴 거예요.	고민하고 있으면 그럴 겁니다.
물리적 나이가 아니라 정신적 나이가 중요하니까요.	물리적 나이가 아니라 정신적 나이가 중요하니까 그렇지 않겠습니까.
물리적 나이가 아니라 정신적 나이가 중요하니까요.	물리적 나이가 아니라 정신적 나이가 중요하니까 그렇지 않겠습니까.
괜찮은 사람이에요.	괜찮은 사람입니다.
멍 때리고 있죠.	멍 때리고 있습니다.
얼굴에 다 티가 나네요.	얼굴에 다 티가 납니다.
좋은 태도네요.	좋은 태도입니다.
저도 사는데요.	저도 삽니다.
자신에게 콩깍지가 씌였나봐요.	자신에게 콩깍지가 씌였나 봅니다.
축하드려요.	축하드립니다.
축하해요!	축하합니다!
친구들과 잘 어울려보세요.	친구들과 잘 어울려보십시오.
부모님께 도움을 청해보세요.	부모님께 도움을 청해보십시오.
다음에는 다를거예요.	다음에는 다를겁니다.
자책하지마세요.	자책하지마십시오.
충분히 아름다워요.	충분히 아름답습니다.
정신 차리세요.	정신 차리십시오.
남들 눈은 신경쓰지 마세요.	남들 눈은 신경쓰지 마십시오.
거울 앞에 비친 당신을 보세요.	거울 앞에 비친 당신을 보십시오.
콕 집어서 물어보세요.	콕 집어서 물어보십시오.
그 누구도 아닌 자기 걸음을 걸으세요.	그 누구도 아닌 자기 걸음을 걸으십시오.
지극히 평범하면서 지극히 특별하죠.	지극히 평범하면서 지극히 특별합니다.
졸업 축하해요	졸업 축하합니다.
지금도 충분히 잘 하고 있어요.	지금도 충분히 잘 하고 있습니다.
지금보다 더 잘 살 거예요.	지금보다 더 잘 살 겁니다.
네 잘생겼어요.	네 잘생겼습니다.
잘하고 있을 거예요.	잘하고 있을 겁니다.
잘하고 있을 거예요.	잘하고 있을 겁니다.
저랑 이야기 잘하고 있어요.	저랑 이야기 잘하고 있습니다.
잘하는 걸 아직 못 찾은 걸 수도 있어요.	잘하는 걸 아직 못 찾은 걸 수도 있습니다.
지금처럼, 지금보다 더 잘할 수 있을 거예요.	지금처럼, 지금보다 더 잘할 수 있을 겁니다.
그렇지 않아요.	그렇지 않습니다.
나 자신에 집중하세요. 언제나 1순위에 자신을 두세요.	나 자신에 집중하십시오. 언제나 1순위에 자신을 두십시오.
제가 챙겨드리고 싶네요.	제가 챙겨드리고 싶습니다.
많이 지쳤나봐요.	많이 지쳤나 봅니다.
많이 지쳤나봐요.	많이 지쳤나 봅니다.
아무도 없는 곳으로 여행을 떠나보세요.	아무도 없는 곳으로 여행을 떠나보십시오.
많이 지쳤나봐요.	많이 지쳤나 봅니다.
먼저 다가가 보세요.	먼저 다가가 보십시오.
동감이에요.	동감입니다.
지금도 잘하고 있어요.	지금도 잘하고 있습니다.
제가 당신을 좋아하고 있어요.	제가 당신을 좋아하고 있습니다.
호의인지 호감인지 헷갈리나요?	호의인지 호감인지 헷갈리십니까?
저도 좋아해요.	저도 좋아합니다.
있어도 예뻐요.	있어도 예쁩니다.
지금은 괜찮길 바랄게요.	지금은 괜찮길 바라겠습니다.
초심으로 돌아가 열심히 해보세요.	초심으로 돌아가 열심히 해보십시오.
저도 사는데요.	저도 삽니다.
제가 챙겨드리고 싶네요.	제가 챙겨드리고 싶습니다.
제가 따라가려면 멀었네요.	제가 따라가려면 멀었습니다.
제가 따라가려면 멀었네요.	제가 따라가려면 멀었습니다.
운동 잘하는 사람 멋있죠.	운동 잘하는 사람 멋있습니다.
지금도 인정받고 있어요.	지금도 인정받고 있습니다.
나를 관찰하고 음식 자체에 집중하세요.	나를 관찰하고 음식 자체에 집중하십시오.
잠깐 핸드폰을 내려두세요.	잠깐 핸드폰을 내려두십시오.
시간을 정해보세요.	시간을 정해보십시오.
시간을 정해보세요.	시간을 정해보십시오.
파이팅!	파이팅!
고치고 싶다는 마음에서 시작하세요.	고치고 싶다는 마음에서 시작하십시오.
얼른 끝내시길 기도할게요.	얼른 끝내시길 기도하겠습니다.
온전히 느낄 수 있는 시간이겠네요.	온전히 느낄 수 있는 시간이겠습니다.
축구 볼때는 치맥이죠.	축구 볼때는 치맥입니다.
하다보면 늘어요.	하다보면 늡니다.
하다보면 늘어요.	하다보면 늡니다.
자기개발을 해보세요.	자기개발을 해보십시오.
집에서도 할 게 많아요.	집에서도 할 게 많습니다.
오늘은 약간의 변화를 줘보세요.	오늘은 약간의 변화를 줘보십시오.
정색 한번 해주세요.	정색 한번 해주십시오.
절대 그렇지 않아요.	절대 그렇지 않습니다.
저도 궁금하네요.	저도 궁금합니다.
모자라지 않아요.	모자라지 않습니다.
파이팅!	파이팅!
하나라도 있을 거니 열심히 찾아보세요.	하나라도 있을 거니 열심히 찾아보십시오.
자책하지마세요.	자책하지마십시오.
서로 다르게 태어난 이유는 저마다의 목소리를 내기 위해서예요. 자신의 목소리를 들어주세요.	서로 다르게 태어난 이유는 저마다의 목소리를 내기 위해서입니다. 자신의 목소리를 들어주십시오.
사랑 받기 위해 태어났어요.	사랑 받기 위해 태어났습니다.
잘해야 한다는 부담감을 버리세요.	잘해야 한다는 부담감을 버리십시오.
다양하게 경험해보세요.	다양하게 경험해보십시오.
현실의 벽에 부딪혔나봐요.	현실의 벽에 부딪혔나 봅니다.
친구가 들으면 서운해 할 수도 있겠어요.	친구가 들으면 서운해 할 수도 있겠습니다.
뒤통수 맞았나봐요.	뒤통수 맞았나 봅니다.
알아봐주는 사람이 있을 거예요.	알아봐주는 사람이 있을 겁니다.
당당히 말씀해보세요.	당당히 말씀해보십시오.
다이어트 파이팅!	다이어트 파이팅!
다음에는 받을 수 있을 거예요.	다음에는 받을 수 있을 겁니다.
근처 산에 가보세요.	근처 산에 가보십시오.
많이 벌수록 좋아요.	많이 벌수록 좋습니다.
제가 위로 많이 해드릴게요.	제가 위로 많이 해드리겠습니다.
축하드려요!	축하드립니다!
고민하고 있으면 그럴 거예요.	고민하고 있으면 그럴 겁니다.
